Long > 350	1	111,859,457	116,455,004	120,063,246	8.56	888	854	879	846
Long > 350	1	136,260,710	139,314,660	139,458,391	6.76	883	885	860	837
Long > 350	1	170,283,138	170,885,169	171,250,901	7.62	838	868	851	833
Long > 350	4	144,622,766	155,785,470	156,860,686	12.21	855	854	895	874
Long > 350	6	113,405,403	114,480,547	149,588,044	7.78	875	885	855	850
Long > 350	7	0	3,162,282	3432958	6.65	881	858	874	860
Long > 350	7	41,445,025	42,299,841	42,819,956	8.34	860	851	891	875
Long > 350	7	137,085,983	139,640,399	144,995,196	7.66	874	854	885	855
Long > 350	8	129,072,461	129,129,250	130,127,694	10.14	863	864	875	867
Long > 350	10	10,955,300	13,167,814	130,530,862	7.98	859	852	879	875
Long > 350	12	30,084,627	34,390,148	35,504,521	7.03	851	855	876	871
Long > 350	14	65,645,077	73,006,995	104,318,119	12.37	885	852	871	838
Long > 350	17	7,772,146	17,733,625	95,294,699	7.82	887	862	863	858
Long > 350	18	66,807,250	70,827,264	90,720,763	7.77	877	843	878	862
