ID	"5157"	"5151"	"5150"	"5161"	"5156"	"5165"	"5155"	"5152"	"5162"	"5158"	"5160"	"5164"	"5163"	"5153"	"5166"	"5154"	"5159"	"5149"
"AX-75183725"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183727"	0	0	0	2	0	2	0	0	2	1	1	2	2	-1	2	0	0	0
"AX-75183728"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"AX-75183731"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183733"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183734"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX-75183735"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183738"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183739"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX-75183740"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183741"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183742"	2	2	2	0	2	0	2	2	0	2	2	0	0	2	0	2	2	2
"AX-75183751"	2	2	2	2	2	2	2	2	2	2	2	-1	2	2	2	2	2	2
"AX-75183753"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX-75183754"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183755"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183760"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX-75183761"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183762"	-1	0	0	1	0	2	-1	0	2	0	0	1	2	0	2	0	0	0
"AX-75183763"	0	0	0	0	0	2	0	0	1	0	0	2	2	0	2	0	0	0
"AX-75183764"	2	1	1	2	2	1	1	2	1	1	2	0	1	0	2	1	1	2
"AX-75183766"	2	2	2	0	2	0	2	2	0	2	2	0	0	2	0	2	2	2
"AX-75183769"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183770"	2	2	2	0	2	0	2	2	0	2	2	0	0	2	0	2	2	2
"AX-75183773"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183777"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"AX-75183780"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183781"	0	0	0	2	0	2	0	0	2	0	0	2	2	0	2	0	0	0
"AX-75183782"	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
"AX-75183783"	2	2	2	0	2	1	2	2	0	2	2	0	0	2	1	2	2	2
"AX-75183787"	2	2	2	0	2	0	2	2	0	2	2	0	0	2	0	2	2	2
"AX-75183788"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AX-75183791"	2	2	2	0	2	0	2	2	0	2	2	0	0	2	0	2	2	2
